ds,yhat,yhat_lower,yhat_upper
2023-06-10,524.022848261179,-218.2858216120174,1235.0446215779323
2023-06-11,423.33890040023164,-322.0867746012051,1087.9556560721917
2023-06-12,479.8843485443038,-290.1764672415425,1197.521406186534
2023-06-13,429.7205410472443,-293.2992895540401,1140.6983532882475
2023-06-14,421.39257530070995,-301.8157384285771,1126.9890930419724
2023-06-15,436.0826372648678,-312.67660210522365,1161.5382914940978
2023-06-16,462.27628407484525,-269.8393659325845,1164.9495316226414
2023-06-17,524.1779138411589,-209.83795257737174,1273.3978593853499
2023-06-18,423.493965980285,-298.8845791621628,1105.2346477535136
2023-06-19,480.0394141242336,-226.9376653915424,1132.0030582807192
2023-06-20,429.8756066273426,-313.5148457977484,1117.859406390025
2023-06-21,421.54764088094544,-284.40346846408056,1117.6323861204407
2023-06-22,436.2377028269371,-228.334571764928,1166.1671210672114
2023-06-23,462.4313496192967,-239.78114473937592,1111.9455386576217
2023-06-24,524.3329793675424,-199.70330466064277,1260.7427054814054
2023-06-25,423.6490314887574,-275.3541227715006,1162.162941599607
2023-06-26,480.1944796147695,-249.90235003835565,1197.367382646958
2023-06-27,430.03067210016167,-298.66078409499227,1148.645546622374
2023-06-28,421.7027063359143,-326.50540256295204,1166.658253697483
2023-06-29,436.3927682818279,-208.02699814119285,1209.284312871159
2023-06-30,462.5864150739162,-271.72470601744607,1130.3570703725125
2023-07-01,524.488044822345,-209.17665145483784,1260.6173873572827
2023-07-03,480.34954506955216,-172.29123534820235,1225.4078278803215
2023-07-04,430.18573755479457,-265.14382182058716,1141.5105322840125
2023-07-05,421.8577717906446,-381.55065253006643,1101.2217122471734
2023-07-06,436.54783374281703,-286.14388417594284,1117.075016056381
2023-07-08,524.6431102955577,-151.61962420377372,1234.2070589171792
2023-07-09,423.95916242269027,-318.1224865550911,1086.4043718334017
2023-07-11,430.3408030464147,-277.08196009289503,1129.7391685039158
2023-07-12,422.0128372880628,-234.13132694275058,1087.5629602996066
2023-07-13,436.7028992402029,-273.1489268672176,1195.8378095335827
2023-07-14,462.89654603857343,-226.14788988913642,1170.0388574999374
2023-07-15,524.7981757929588,-160.66643354806425,1253.2550917116755
2023-07-16,424.1142279201649,-284.45289055362764,1131.2476619511374
2023-07-17,480.65967605241656,-240.15778160417378,1238.2242552172756
2023-07-19,422.16790278558335,-287.7019734135579,1141.9332594289262
2023-07-21,463.05161151461203,-241.81647329842863,1205.91035488132
2023-07-22,524.9532412581018,-226.079024979109,1236.6081483350074
2023-07-23,424.2692933745356,-309.53400435089424,1149.1108457481957
2023-07-24,480.81474149578827,-175.11080120313594,1188.4088943624874
2023-07-25,430.65093397638117,-249.48752614511685,1202.2692700018947
2023-07-26,422.3229682075538,-348.96212864067024,1143.3750136633269
2023-07-27,437.0130301486306,-277.36806382190827,1166.2300749966137
2023-07-28,463.206676936411,-271.4085320674936,1191.4138722028954
2023-07-29,525.1083066798167,-224.59021922377113,1197.5485825293242
2023-07-30,424.42435879630716,-253.4004036960316,1121.9824420890247
2023-07-31,480.9698069175726,-285.6983751821502,1158.2358864715561
2023-08-01,430.8059993980157,-270.2700802131321,1140.7478941628729
2023-08-02,422.47803365659064,-292.8651896559897,1110.5165799515428
2023-08-03,437.1680956258412,-280.97351334608214,1143.5137158043008
2023-08-04,463.3617424406494,-192.2573637191801,1228.662626663291
2023-08-05,525.263372211795,-198.6047746203046,1222.2686981102822
2023-08-06,424.5794243557963,-293.25296389681563,1144.7838527192248
2023-08-07,481.12487250473765,-225.58423340096144,1230.8759465719206
2023-08-08,430.96106501265376,-300.3083375428942,1155.3271037227814
2023-08-09,422.63309927146815,-266.0267561348783,1142.4471850838802
2023-08-10,437.32316124030723,-290.12914715765,1147.1708759609255
2023-08-11,463.51680805525314,-295.18646274491283,1205.1413240807035
2023-08-12,525.418437830567,-178.22620903387457,1244.0601651164347
2023-08-13,424.7344899788942,-328.8378771825985,1153.0467185428072
2023-08-14,481.27993813196446,-265.1909288753661,1190.6090422941259
2023-08-15,431.1161306443937,-254.42294754508538,1130.6786731038733
2023-08-17,437.47822688028793,-283.66875012372697,1158.945575432148
2023-08-18,463.6718736998019,-239.5844730567385,1209.7772776878517
2023-08-19,525.573503474943,-175.80911603826624,1278.1166065097993
2023-08-20,424.8895556233494,-253.62539861488412,1119.580890323238
2023-08-21,481.4350037764402,-223.06201623756414,1158.506338115712
2023-08-22,431.2711962887988,-282.5977069700844,1123.8786673096495
2023-08-23,422.9432306414107,-317.5824965559635,1146.3476205479735
2023-08-24,437.63329270443205,-299.3749805100812,1084.6678773676906
2023-08-25,463.8269396135147,-261.9422240431907,1184.3957705823777
2023-08-26,525.7285694788834,-214.30658712282982,1234.8605577467906
2023-08-27,425.0446217169261,-288.24382429259384,1160.5855144202983
2023-08-28,481.59006995995577,-210.19907940494602,1199.383492343018
2023-08-29,431.42626256188487,-244.80060675650836,1135.5835647753777
2023-08-31,437.788358977352,-340.91006211805177,1104.1410539927467
2023-09-01,463.98200588694306,-274.8391098517117,1129.32536555171
2023-09-02,525.8836357163767,-211.80126730066596,1216.6133042791444
